Scientific Name,Species Name,Species Code,BC List,COSEWIC,SARA,Francois Lake,Lower Chilako,Nechako,Upper Fraser
Acipenser transmontanus,White Sturgeon,WSG,No Status,E/T (Nov 2012),1-E,Yes,Yes,Yes,NA
Carassius auratus,Goldfish,GC,Exotic,NA,NA,NA,Yes,NA,NA
Catostomus bondi,Northern Mountain Sucker,MSU,Blue,T (Dec 2022),NA,NA,Yes,NA,NA
Catostomus catostomus,Longnose Sucker,LSU,Yellow,NA,NA,Yes,Yes,Yes,Yes
Catostomus columbianus,Bridgelip Sucker,BSU,Yellow,NA,NA,Yes,NA,Yes,NA
Catostomus commersonii,White Sucker,WSU,Yellow,NA,NA,Yes,Yes,Yes,NA
Catostomus macrocheilus,Largescale Sucker,CSU,Yellow,NA,NA,Yes,Yes,Yes,NA
Chrosomus neogaeus,Finescale Dace,FDC,Yellow,NA,NA,Yes,NA,NA,NA
Coregonus clupeaformis,Lake Whitefish,LW,Yellow,NA,NA,Yes,Yes,Yes,NA
Cottus asper,Prickly Sculpin,CAS,Yellow,NA,NA,Yes,Yes,Yes,NA
Cottus cognatus,Slimy Sculpin,CCG,Yellow,NA,NA,Yes,Yes,Yes,Yes
Cottus ricei,Spoonhead Sculpin,CRI,Yellow,NAR (May 1989),NA,Yes,NA,NA,Yes
Couesius plumbeus,Lake Chub,LKC,Yellow,DD,NA,Yes,Yes,Yes,Yes
Cyprinus carpio,Carp,CP,Exotic,NA,NA,Yes,NA,NA,NA
Hybognathus hankinsoni,Brassy Minnow,BMC,No Status,NA,NA,Yes,Yes,Yes,NA
Lota lota,Burbot,BB,Yellow,NA,NA,Yes,Yes,Yes,Yes
Micropterus salmoides,Largemouth Bass,LMB,Exotic,NA,NA,NA,NA,Yes,NA
Mylocheilus caurinus,Peamouth Chub,PCC,Yellow,NA,NA,Yes,Yes,Yes,NA
Oncorhynchus clarkii,Cutthroat Trout,CT,No Status,NA,NA,Yes,NA,NA,NA
Oncorhynchus gorbuscha,Pink Salmon,PK,Not Reviewed,NA,NA,NA,Yes,NA,NA
Oncorhynchus kisutch,Coho Salmon,CO,Not Reviewed,NA,NA,Yes,Yes,Yes,NA
Oncorhynchus mykiss,Rainbow Trout,RB,Yellow,NA,NA,Yes,Yes,Yes,Yes
Oncorhynchus nerka,Kokanee,KO,Not Reviewed,NA,NA,Yes,Yes,Yes,Yes
Oncorhynchus nerka,Sockeye Salmon,SK,Not Reviewed,NA,NA,Yes,Yes,Yes,Yes
Oncorhynchus tshawytscha,Chinook Salmon,CH,Not Reviewed,E/T/SC/DD/NAR (Nov 2020),NA,Yes,Yes,Yes,Yes
Prosopium coulterii,Pygmy Whitefish,PW,Yellow,NAR (Nov 2016),NA,NA,Yes,Yes,Yes
Prosopium williamsoni,Mountain Whitefish,MW,Yellow,NA,NA,Yes,Yes,Yes,Yes
Ptychocheilus oregonensis,Northern Pikeminnow,NSC,Yellow,NA,NA,Yes,Yes,Yes,NA
Rhinichthys cataractae,Longnose Dace,LNC,Yellow,NA,NA,Yes,Yes,Yes,Yes
Rhinichthys falcatus,Leopard Dace,LDC,Yellow,NAR (May 1990),NA,Yes,Yes,Yes,NA
Richardsonius balteatus,Redside Shiner,RSC,Yellow,NA,NA,Yes,Yes,Yes,NA
Salvelinus confluentus,Anadromous Bull Trout,ABT,Blue,SC (Nov 2012),NA,NA,NA,Yes,NA
Salvelinus confluentus pop. 26,Bull Trout,BT,Blue,NAR (Nov 2012),NA,Yes,Yes,Yes,Yes
Salvelinus fontinalis,Brook Trout,EB,Exotic,NA,NA,Yes,Yes,Yes,Yes
Salvelinus malma,Dolly Varden,DV,Yellow,NA,NA,Yes,Yes,Yes,Yes
Salvelinus namaycush,Lake Trout,LT,Yellow,NA,NA,Yes,Yes,Yes,Yes
NA,All Salmon,AO,NA,NA,NA,NA,Yes,NA,NA
NA,"Char, General",SLV,NA,NA,NA,NA,NA,NA,Yes
NA,Chub (General),CBC,NA,NA,NA,Yes,Yes,Yes,NA
NA,Dace (General),DC,NA,NA,NA,Yes,Yes,Yes,NA
NA,Minnow (General),C,NA,NA,NA,Yes,Yes,Yes,NA
NA,Northern Pearl Dace,PDC,NA,NA,NA,Yes,NA,NA,NA
NA,Salmon (General),SA,NA,NA,NA,NA,Yes,NA,Yes
NA,Sculpin (General),CC,NA,NA,NA,Yes,Yes,Yes,Yes
NA,Sucker (General),SU,NA,NA,NA,Yes,Yes,Yes,Yes
NA,Whitefish (General),WF,NA,NA,NA,Yes,Yes,Yes,Yes
