My Crossing Reference,Watershed,Diameter or Span (m),Outlet Drop (m),Downstream Channel Width (m),Stream Slope,Fish Observed?,Habitat Value,Barrier Final Score,Assessment Comment,Habitat Gain Index
4655,Bowron,1.8,0.48,4.2,5,No,Medium,34,,Very Low
5266,Bowron,1.8,1.0,4.0,3,No,Medium,34,2 culverts. Tributary to Wendle Lake,Medium
9196,Bowron,1.8,0.5,8.0,3,No,High,36,,High
9190A,Bowron,1.1,1.5,2.3,12,No,Medium,39,Road KM not recorded,Very Low
13068,Bowron,1.1,0.4,3.0,2,No,Medium,37,"Inlet buried, beaver dam.",Moderate
514,Tabor,1.4,0.38,3.0,2,No,Medium,37,Pipe warped.,Very Low
1130,Tabor,1.2,0.7,1.8,4,Yes,Medium,37,Outlet rusted through,High
4056,Tabor,1.7,0.3,4.0,3,Yes,High,37,Outlet control.,Moderate
9112,Tabor,1.2,0.61,1.7,3,Yes,Medium,34,Fish D/S.,Moderate
10012,Tabor,2.4,0.3,5.0,3,Yes,High,42,High priority. 15m fill depth.,High
784,Willow,2.1,1.0,2.5,6,No,Medium,36,Map indicates Rb and Bt present immediately downstream,Moderate
1951,Willow,1.8,1.1,2.0,5,No,Medium,36,RB present according to map,Moderate
4017,Willow,1.4,0.6,2.5,6,No,Medium,39,Map indicates Rb and Bt present,Moderate
5142,Willow,1.2,0.6,2.5,6,No,Medium,39,Map indicates Rb and Bt present,Moderate
7944A,Willow,1.5,1.2,4.0,4,No,Medium,42,,Moderate
